id,bid_month,system_time,real_lowest_price_time,real_lowest_price,real_lowest_price_from,real_lowest_price_to,bid_date,alert_price,avg_price,bid_people_num,bid_percent,license_num,lowest_price,lowest_price_time,lowest_price_time_order
1117,201609,11:29:34,11:28:30,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1118,201609,11:29:35,11:28:26,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1119,201609,11:29:36,11:28:20,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1120,201609,11:29:37,11:28:13,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1121,201609,11:29:38,11:28:09,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1122,201609,11:29:39,11:28:03,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1123,201609,11:29:40,11:27:56,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1124,201609,11:29:41,11:27:50,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1125,201609,11:29:42,11:27:41,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1126,201609,11:29:43,11:27:33,85400,85100,85700,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1127,201609,11:29:44,11:29:24,85500,85200,85800,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1128,201609,11:29:45,11:29:16,85600,85300,85900,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1129,201609,11:29:46,11:29:36,85700,85400,86000,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1130,201609,11:29:47,11:29:13,85700,85400,86000,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1131,201609,11:29:48,11:29:47,85900,85600,86200,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1132,201609,11:29:49,11:29:46,85900,85600,86200,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1133,201609,11:29:50,11:29:46,85900,85600,86200,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1134,201609,11:29:51,11:29:45,85900,85600,86200,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1135,201609,11:29:52,11:29:51,86000,85700,86300,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1136,201609,11:29:53,11:29:48,86000,85700,86300,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1137,201609,11:29:54,11:29:47,86000,85700,86300,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1138,201609,11:29:55,11:29:46,86000,85700,86300,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1139,201609,11:29:56,11:29:49,86100,85800,86400,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1140,201609,11:29:57,11:29:54,86200,85900,86500,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1141,201609,11:29:58,11:29:48,86200,85900,86500,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1142,201609,11:29:59,11:29:53,86300,86000,86600,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
1143,201609,11:30:00,11:29:59,86500,86200,86800,2016-09-24,84800,86523,229544,5.62%,12889,86500,11:29:59,2864
988,201608,11:29:30,11:29:10,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
989,201608,11:29:31,11:29:09,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
990,201608,11:29:32,11:29:09,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
991,201608,11:29:33,11:29:08,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
992,201608,11:29:34,11:29:08,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
993,201608,11:29:35,11:29:07,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
994,201608,11:29:36,11:29:07,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
995,201608,11:29:37,11:29:05,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
996,201608,11:29:38,11:29:03,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
997,201608,11:29:39,11:28:59,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
998,201608,11:29:40,11:28:55,85700,85400,86000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
999,201608,11:29:41,11:29:39,85800,85500,86100,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1000,201608,11:29:42,11:29:18,85800,85500,86100,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1001,201608,11:29:43,11:29:24,85900,85600,86200,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1002,201608,11:29:44,11:29:38,86000,85700,86300,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1003,201608,11:29:45,11:29:28,86000,85700,86300,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1004,201608,11:29:46,11:29:42,86100,85800,86400,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1005,201608,11:29:47,11:29:45,86200,85900,86500,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1006,201608,11:29:48,11:29:44,86200,85900,86500,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1007,201608,11:29:49,11:29:43,86200,85900,86500,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1008,201608,11:29:50,11:29:48,86300,86000,86600,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1009,201608,11:29:51,11:29:46,86300,86000,86600,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1010,201608,11:29:52,11:29:45,86300,86000,86600,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1011,201608,11:29:53,11:29:45,86300,86000,86600,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1012,201608,11:29:54,11:29:51,86400,86100,86700,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1013,201608,11:29:55,11:29:46,86400,86100,86700,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1014,201608,11:29:56,11:29:51,86500,86200,86800,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1015,201608,11:29:57,11:29:55,86600,86300,86900,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1016,201608,11:29:58,11:29:56,86700,86400,87000,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1017,201608,11:29:59,11:29:57,86800,86500,87100,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
1018,201608,11:30:00,11:29:58,86900,86600,87200,2016-08-27,84800,86946,251188,4.60%,11549,86900,11:29:58,3113
863,201607,11:29:30,11:28:32,85700,85400,86000,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
864,201607,11:29:31,11:28:25,85700,85400,86000,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
865,201607,11:29:32,11:29:24,85800,85500,86100,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
866,201607,11:29:33,11:29:17,85800,85500,86100,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
867,201607,11:29:34,11:29:11,85800,85500,86100,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
868,201607,11:29:35,11:29:25,85900,85600,86200,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
869,201607,11:29:36,11:29:14,85900,85600,86200,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
870,201607,11:29:37,11:29:34,86000,85700,86300,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
871,201607,11:29:38,11:29:29,86000,85700,86300,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
872,201607,11:29:39,11:29:21,86000,85700,86300,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
873,201607,11:29:40,11:29:39,86100,85800,86400,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
874,201607,11:29:41,11:29:34,86100,85800,86400,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
875,201607,11:29:42,11:29:37,86200,85900,86500,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
876,201607,11:29:43,11:29:42,86300,86000,86600,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
877,201607,11:29:44,11:29:39,86300,86000,86600,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
878,201607,11:29:45,11:29:37,86300,86000,86600,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
879,201607,11:29:46,11:29:41,86400,86100,86700,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
880,201607,11:29:47,11:29:46,86500,86200,86800,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
881,201607,11:29:48,11:29:44,86500,86200,86800,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
882,201607,11:29:49,11:29:47,86600,86300,86900,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
883,201607,11:29:50,11:29:45,86600,86300,86900,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
884,201607,11:29:51,11:29:43,86600,86300,86900,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
885,201607,11:29:52,11:29:47,86700,86400,87000,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
886,201607,11:29:53,11:29:49,86800,86500,87100,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
887,201607,11:29:54,11:29:52,86900,86600,87200,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
888,201607,11:29:55,11:29:49,86900,86600,87200,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
889,201607,11:29:56,11:29:52,87000,86700,87300,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
890,201607,11:29:57,11:29:55,87100,86800,87400,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
891,201607,11:29:58,11:29:54,87100,86800,87400,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
892,201607,11:29:59,11:29:58,87200,86900,87500,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
893,201607,11:30:00,11:29:57,87200,86900,87500,2016-07-23,84800,87235,240750,4.77%,11475,87200,11:29:57,2457
738,201606,11:29:30,11:29:07,83800,83500,84100,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
739,201606,11:29:31,11:29:06,83800,83500,84100,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
740,201606,11:29:32,11:29:05,83800,83500,84100,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
741,201606,11:29:33,11:28:59,83800,83500,84100,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
742,201606,11:29:34,11:29:21,83900,83600,84200,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
743,201606,11:29:35,11:29:14,83900,83600,84200,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
744,201606,11:29:36,11:29:33,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
745,201606,11:29:37,11:29:28,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
746,201606,11:29:38,11:29:24,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
747,201606,11:29:39,11:29:21,84000,83700,84300,2016-06-18,82800,84483,275438,4.19%,11546,84400,11:29:54,292
